,Unnamed: 0.1,Unnamed: 0,STI_Price,SPY_Price,SHG_Price,US Interest Rates,China Interest Rates ,Production Index United States,Production Index China,Date,CNY,USD,STI_Price_returns,SPY_Price_returns,SHG_Price_returns,US Interest Rates_returns,China Interest Rates _returns,Production Index United States_returns,Production Index China_returns,CNY_returns,USD_returns
39,39,39,2194.166667,903.7566667,2689.953333,0.5,2.79,-15.06569409,-7.2,2009-06-30,1.4576,1.2282333333333335,0.30570702618271506,0.14940818372589915,0.2517776478190803,0.0,0.0,0.07871092586841821,0.5652173913043479,-0.045156782251725036,-0.00788906838987602
40,40,40,2641.556667,1021.726667,2953.076667,0.5,2.79,-10.60191335,-7.7,2009-09-30,1.4296,1.2705,0.20389973411258633,0.13053292401234362,0.0978170627616608,0.0,0.0,-0.2962877590195381,0.06944444444444442,-0.019209659714599314,0.03441257090129435
41,41,41,2760.29,1082.306667,3156.096667,0.5,2.79,-5.205814579,-2.066666667,2009-12-31,1.3968,1.2989,0.044948243769778795,0.059291787086144465,0.068748638417927,0.0,0.0,-0.5089740495756834,-0.7316017315584415,-0.022943480693900398,0.022353404171586044
42,42,42,2794.556667,1115.93,3050.113333,0.6666666666666666,2.79,2.345606108,5.2,2010-03-31,1.4037,1.3435333333333332,0.012414154672153899,0.031066364113970568,-0.03358050946542823,0.33333333333333326,0.0,-1.4505742708282503,-3.5161290318522376,0.004939862542955309,0.03436240921805633
43,43,43,2854.24,1102.27,2620.376667,0.75,2.79,7.300065686,6.78,2010-06-30,1.3897000000000002,1.3897000000000002,0.021356995084329755,-0.012240911168263313,-0.14089203222403668,0.125,0.0,2.112229995096858,0.3038461538461539,-0.009973641091401197,0.03436212970773611
44,44,44,3011.886667,1097.376667,2643.986667,0.75,2.79,6.906537739,4.466666667,2010-09-30,1.3435333333333332,1.4037,0.055232449618812796,-0.004439323396264072,0.009010155027456612,0.0,0.0,-0.05390745288151366,-0.3411996066371682,-0.0332205991700848,0.0100741167158378
45,45,45,3159.12,1207.15,2869.03,0.75,2.943333333,5.708321552,5.666666667,2010-12-31,1.2989,1.3968,0.048884088041284635,0.10003250142004338,0.08511515425126759,0.0,0.054958183870967625,-0.17349013822568204,0.2686567163978615,-0.03322086041780381,-0.004915580252190521
46,46,46,3098.693333,1313.056667,2874.616667,0.75,3.25,4.292931671,7.033333333,2011-03-31,1.2705,1.4296,-0.019127689673073434,0.08773281448038772,0.0019472319913000913,0.0,0.10419026060070102,-0.24795202374401915,0.24117647045640123,-0.021864654707829723,0.023482245131729584
47,47,47,3153.41,1343.15,2805.686667,0.75,3.25,2.709922096,6.9,2011-06-30,1.2282333333333335,1.4576,0.01765798067762514,0.022918533340039016,-0.023978849351046327,0.0,0.0,-0.368747908496585,-0.018957345925069036,-0.033267742358651264,0.019585898153329673
48,48,48,2916.56,1214.196667,2542.763333,0.75,3.25,2.491837752,7.1,2011-09-30,1.238,1.5265333333333333,-0.07510916753609587,-0.0960081398205711,-0.09371086839184817,0.0,0.0,-0.08047624111479257,0.02898550724637672,0.007951800689336874,0.04729235272594212
