,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,STI_Price,SPY_Price,SHG_Price,US Interest Rates,China Interest Rates ,Production Index United States,Production Index China,Date,CNY,USD,STI_Price_returns,SPY_Price_returns,SHG_Price_returns,US Interest Rates_returns,China Interest Rates _returns,Production Index United States_returns,Production Index China_returns,CNY_returns,USD_returns,Crisis_Bool,Crisis
0,0,0,0,2074.68,1282.71,1570.7,4.603333333333333,3.24,4.43329893,-2.303333333,1999-09-30,1.6882666666666666,1.3349666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
1,1,1,1,2302.69,1407.03,1435.37,4.87,3.24,4.835099255,-0.86,1999-12-31,1.6696666666666669,1.3427666666666669,0.1099012859814527,0.0969198026054212,-0.0861590373718724,0.0579290369297611,0.0,0.0906323555763473,-0.6266280751992226,-0.0110172168693727,0.0058428425179157,False,0
2,2,2,2,2181.936667,1419.82,1683.266667,5.1933333333333325,3.24,4.709447084,0.966666667,2000-03-31,1.7124,1.3665333333333336,-0.0524401169936031,0.0090900691527544,0.172705760187269,0.0663928815879533,0.0,-0.0259875060207012,-2.124031008139535,0.025593930924336,0.0176997740982549,False,0
3,3,3,3,2043.596667,1442.543333,1886.326667,5.736666666666666,3.24,4.998180362,2.7,2000-06-30,1.7226,1.4051,-0.0634023902216223,0.0160043759068051,0.1206344805495991,0.1046213093709886,0.0,0.0613093793921053,1.7931034473127232,0.005956552207428,0.0282222655868862,False,0
4,4,4,4,2087.99,1461.673333,1984.966667,6.0,3.24,3.973205841,4.033333333,2000-09-30,1.7310666666666668,1.393066666666667,0.0217231382869542,0.0132613000679959,0.0522921091694452,0.0459035444509006,0.0,-0.2050695346635832,0.4938271603703701,0.0049150508920625,-0.0085640405190613,False,0
5,5,5,5,2007.99,1354.876667,2035.126667,6.0,3.24,1.878627594,3.3,2000-12-31,1.7469333333333334,1.3572666666666666,-0.0383143597431021,-0.0730646606111408,0.0252699457547112,0.0,0.0,-0.5271758702722595,-0.1818181817505635,0.0091658322421628,-0.0256986983154672,False,0
6,6,6,6,1906.546667,1255.426667,2045.856667,5.11,3.24,-0.368478324,0.833333333,2001-03-31,1.7645666666666668,1.3807666666666665,-0.0505198397402377,-0.0734015150029888,0.0052723990963261,-0.1483333333333333,0.0,-1.196142293010522,-0.7474747475757575,0.0100938787971303,0.0173142099317253,False,0
7,7,7,7,1668.516667,1243.22,2183.823333,3.826666666666666,3.24,-2.825269735,-0.3,2001-06-30,1.818,1.3618,-0.1248487666837687,-0.0097231222825378,0.0674371123966914,-0.2511415525114157,0.0,6.667397377219942,-1.360000000144,0.0302812777452443,-0.0137363300581802,True,1
8,8,8,8,1501.29,1128.583333,1839.776667,3.06,3.24,-4.087629734,-2.066666667,2001-09-30,1.7698666666666665,1.3508666666666669,-0.1002247507066707,-0.0922094778076285,-0.1575432686339924,-0.200348432055749,0.0,0.4468104348981745,5.88888889,-0.0264759809314266,-0.008028589611788,True,1
9,9,9,9,1489.38,1115.77,1694.376667,1.643333333333333,3.24,-4.878475788,-3.6,2001-12-31,1.8338333333333328,1.3733333333333333,-0.0079331774673779,-0.0113534664435808,-0.0790313316871738,-0.462962962962963,0.0,0.1934730162621916,0.7419354835900107,0.0361420822660838,0.0166312984257017,False,0
10,10,10,10,1782.416667,1128.106667,1540.086667,1.25,2.88,-2.980106674,-4.133333333,2002-03-31,1.8378333333333328,1.3663666666666667,0.1967507734762115,0.0110566398092797,-0.0910600358261425,-0.2393509127789045,-0.1111111111111111,-0.3891316051356818,0.1481481480555555,0.0021812233027356,-0.0050728155339805,False,0
11,11,11,11,1647.13,1044.626667,1638.746667,1.25,2.7,-0.214025645,-2.733333333,2002-06-30,1.7907,1.3419333333333334,-0.0759006967925753,-0.0740000945318409,0.0640613298680026,0.0,-0.0624999999999998,-0.92818188460592,-0.3387096774466702,-0.0256461412895616,-0.0178819740918737,False,0
12,12,12,12,1430.536667,880.99,1633.276667,1.25,2.7,1.800104461,-1.8,2002-09-30,1.763966666666667,1.3156666666666668,-0.1314974124689611,-0.1566460747837676,-0.0033379167812518,0.0,0.0,-9.41069518094432,-0.341463414553837,-0.014928984940712,-0.0195737493169059,True,1
13,13,13,13,1367.126667,900.63,1433.11,0.9433333333333332,2.7,2.873976135,-0.333333333,2002-12-31,1.7560333333333336,1.3494,-0.0443260221585078,0.0222931020783436,-0.1225552725048512,-0.2453333333333334,0.0,0.5965607537039483,-0.814814815,-0.0044974394829834,0.0256397263744614,False,0
